CustomerKey	FirstName	LastName	Full_Name	Gender	AddressLine1	DateFirstPurchase	CommuteDistance	Customer_City
11000	Jon	Yang	Jon Yang	Male	3761 N. 14th St	1/19/2011	1-2 Miles	Rockhampton
11001	Eugene	Huang	Eugene Huang	Male	2243 W St.	1/15/2011	0-1 Miles	Seaford
11002	Ruben	Torres	Ruben Torres	Male	5844 Linden Land	1/7/2011	2-5 Miles	Hobart
11003	Christy	Zhu	Christy Zhu	Female	1825 Village Pl.	12/29/2010	5-10 Miles	North Ryde
11004	Elizabeth	Johnson	Elizabeth Johnson	Female	7553 Harness Circle	1/23/2011	1-2 Miles	Wollongong
11005	Julio	Ruiz	Julio Ruiz	Male	7305 Humphrey Drive	12/30/2010	5-10 Miles	East Brisbane
11006	Janet	Alvarez	Janet Alvarez	Female	2612 Berry Dr	1/24/2011	5-10 Miles	Matraville
11007	Marco	Mehta	Marco Mehta	Male	942 Brook Street	1/9/2011	0-1 Miles	Warrnambool
11008	Rob	Verhoff	Rob Verhoff	Female	624 Peabody Road	1/25/2011	10+ Miles	Bendigo
11009	Shannon	Carlson	Shannon Carlson	Male	3839 Northgate Road	1/27/2011	5-10 Miles	Hervey Bay
11010	Jacquelyn	Suarez	Jacquelyn Suarez	Female	7800 Corrinne Court	1/14/2011	5-10 Miles	East Brisbane
11011	Curtis	Lu	Curtis Lu	Male	1224 Shoenic	12/30/2010	10+ Miles	East Brisbane
11012	Lauren	Walker	Lauren Walker	Female	4785 Scott Street	3/16/2013	1-2 Miles	Bremerton
11013	Ian	Jenkins	Ian Jenkins	Male	7902 Hudson Ave.	4/13/2013	0-1 Miles	Lebanon
11014	Sydney	Bennett	Sydney Bennett	Female	9011 Tank Drive	3/23/2013	1-2 Miles	Redmond
11015	Chloe	Young	Chloe Young	Female	244 Willow Pass Road	1/18/2013	5-10 Miles	Burbank
11016	Wyatt	Hill	Wyatt Hill	Male	9666 Northridge Ct.	2/9/2013	5-10 Miles	Imperial Beach
11017	Shannon	Wang	Shannon Wang	Female	7330 Saddlehill Lane	1/12/2011	5-10 Miles	Sunbury
11018	Clarence	Rai	Clarence Rai	Male	244 Rivewview	1/17/2011	5-10 Miles	Bendigo
